13, 19, 0
5, 16, 0
5, 5, 1
12, 11, 0
16, 7, 0
5, 12, 1
7, 15, 0
15, 7, 0
2, 11, 1
15, 5, 0
11, 11, 0
0, 7, 1
5, 17, 0
10, 17, 0
10, 14, 0
5, 19, 0
7, 10, 1
0, 15, 1
4, 2, 1
14, 9, 0
0, 14, 1
15, 8, 0
7, 10, 1
0, 20, 0
6, 10, 1
16, 1, 1
12, 14, 0
19, 3, 0
5, 8, 1
10, 17, 0
0, 10, 1
4, 16, 0
7, 18, 0
12, 1, 1
20, 15, 0
20, 20, 0
15, 7, 0
17, 12, 0
1, 0, 1
5, 1, 1
5, 8, 1
17, 12, 0
17, 4, 0
8, 15, 0
12, 14, 0
19, 5, 0
12, 0, 1
0, 2, 1
2, 9, 1
17, 20, 0
4, 2, 1
14, 12, 0
18, 13, 0
5, 12, 1
13, 18, 0
18, 14, 0
18, 14, 0
18, 0, 1
19, 19, 0
17, 14, 0
18, 16, 0
12, 4, 1
9, 9, 1
1, 0, 1
20, 0, 0
2, 3, 1
14, 2, 1
5, 10, 1
1, 3, 1
8, 1, 1
1, 10, 1
14, 13, 0
16, 4, 0
9, 7, 1
19, 17, 0
13, 12, 0
13, 12, 0
6, 15, 0
6, 9, 1
19, 13, 0
16, 19, 0
16, 5, 0
19, 19, 0
13, 19, 0
4, 6, 1
5, 16, 0
4, 8, 1
9, 16, 0
5, 7, 1
4, 20, 0
17, 20, 0
10, 11, 0
14, 7, 0
17, 7, 0
16, 15, 0
11, 3, 1
18, 16, 0
20, 19, 0
0, 8, 1
17, 7, 0
1, 10, 1
1, 13, 1
15, 7, 0
0, 2, 1
9, 12, 0
15, 17, 0
13, 17, 0
0, 1, 1
14, 12, 0
6, 17, 0
20, 3, 0
16, 9, 0
6, 17, 0
17, 16, 0
0, 12, 1
20, 4, 0
3, 15, 1
1, 8, 1
10, 10, 0
15, 16, 0
18, 18, 0
15, 18, 0
5, 6, 1
17, 3, 0
20, 13, 0
18, 20, 0
17, 4, 0
0, 5, 1
12, 2, 1
19, 12, 0
3, 13, 1
6, 1, 1
18, 2, 0
20, 8, 0
1, 16, 1
15, 2, 1
19, 5, 0
16, 1, 1
18, 19, 0
14, 9, 0
9, 12, 0
18, 5, 0
14, 2, 1
15, 12, 0
6, 9, 1
13, 6, 1
10, 8, 1
0, 8, 1
3, 19, 0
4, 11, 1
16, 7, 0
7, 10, 1
6, 8, 1
16, 3, 1
7, 15, 0
8, 19, 0
16, 5, 0
11, 19, 0
18, 5, 0
19, 10, 0
1, 15, 1
16, 3, 1
18, 2, 0
10, 1, 1
5, 5, 1
17, 2, 1
5, 19, 0
12, 7, 1
6, 19, 0
8, 0, 1
19, 1, 0
18, 14, 0
20, 11, 0
2, 3, 1
16, 19, 0
0, 13, 1
3, 1, 1
5, 11, 1
8, 19, 0
4, 1, 1
9, 16, 0
20, 18, 0
18, 18, 0
7, 11, 1
14, 14, 0
10, 11, 0
8, 15, 0
2, 10, 1
5, 1, 1
3, 10, 1
19, 9, 0
10, 8, 1
19, 2, 0
8, 15, 0
20, 12, 0
19, 7, 0
1, 9, 1
16, 7, 0
0, 10, 1
16, 3, 1
9, 10, 1
15, 9, 0
10, 8, 1
19, 0, 1
